key,en-us,fr,es-es,pl,ru,de,tr,,
SERVER_LATENCY,Latency: **{0}ms**,Latence: **{0}ms**,,,Задержка: **{0}ms**,Verspätung: **{0}ms**,,,
SERVER_GAMEMODE,Gamemode: **{0}**,Mode de jeu: **{0}**,,,Игровой режим: **{0}**,Spielmodi: **{0}**,,,
SERVER_GAMETYPE,Gametype: **{0}**,Type de jeu: ** {0} **,,,Тип игры: **{0}*,Spieltyp: **{0}**,,,
SERVER_SEED,Seed: `{0}`,Seed: `{0}`,,,Сид: `{0}`,Welt: `{0}`,,,
SERVER_OFFLINE,Server is not online,Le serveur n'est pas en ligne,El servidor no está en línea,,Сервер оффлайн,Der Server ist nicht eingeschaltet.,,,
SERVER_IFONLINE,"If the server is online, check that `enable-status=true` or `enable-query=true`","Si le serveur est en ligne, vérifiez que `enable-status=true` ou `enable-query=true`","Si el servidor está en línea, compruebe que `enable-status=true` o `enable-query=true`",,"Если сервер онлайн, проверьте `enable-status=true` или `enable-query=true`","Wenn der Server verbunden ist,  überprüfe das `enable-status=true` oder `enable-query=true`",,,
SERVER_WRONGPORT,"A minecraft server is not hosted on the set port, please change to the correct port","Un serveur minecraft n'est pas hébergé sur le port défini, veuillez changer pour le bon port","Un servidor minecraft no está alojado en el puerto establecido, por favor cambie al puerto correcto",,"Сервер Minecraft недоступен по заданному порту, укажите верный.",Kein Minecraft Server ist auf diesem Port erreichbar. Bitte überprüfe dies.,,,
SERVER_NOQUERY,"This may not be all players, `enable-query=true` must be set and query port must be set to the `query.port` in server.properties","Il se peut que ce ne soit pas tous les joueurs, `enable-query=true` doit être défini et le port de requête doit être défini sur `query.port` dans server.properties","Puede que no sean todos los jugadores, `enable-query=true` debe establecerse y el puerto de consulta debe establecerse en `query.port` en server.properties",,"Могут быть указаны не все игроки, должен быть настроен параметр `enable-query=true` и установлено значение порта у параметра `query.port` в server.properties","Das könnten nicht alle Spieler sein, `enable-query=true` muss gesetzt sein und query port`query.port` in server.properties",,,
SERVER_BLOCKED,The server ip cannot be pinged as it has been blocked,L'IP du serveur ne peut pas recevoir de ping car elle a été bloquée,"El ip del servidor no se puede hacer ping, ya que ha sido bloqueado",,"Ответ от сервера по заданному IP не может быть получен, так как заблокирован","Mit der Server-IP konnte nicht verbunden werden, da eingehende Anfragen ablehnt werden.",,,
SERVER_BEDROCK,Bedrock servers do not return all players online.,Les serveurs Bedrock ne renvoient pas tous les joueurs en ligne.,Los servidores Bedrock no devuelven a todos los jugadores en línea.,,Bedrock сервера могут указывать не всех игроков онлайн,Bedrock Server können nicht alle verbundenen Spieler anzeigen.,,,
SERVER_COULDNOTFIND,"Could not find server, check that a valid ip and port is set, and is the server running a supported version?","Impossible de trouver le serveur, vérifiez qu'une adresse IP et un port valides sont définis et que le serveur exécute une version prise en charge?","¿No se pudo encontrar el servidor, comprobar que se establece un ip y un puerto válidos y el servidor está ejecutando una versión compatible?",,"Невозможно найти сервер, проверьте корректность указанного IP и порта. Удостоверьтесь, что сервер работает на поддерживаемой версии.",Konnte Server nicht finden. Überprüfe ob die Server ID und der Port richtig ist. Achte außerdem auf die Aktualität der Version.,,,
SERVER_ERROR,"An error occured, please contact the developer via our support server!","Une erreur s'est produite, veuillez contacter le développeur via notre serveur de support!","Se ha producido un error, póngase en contacto con el desarrollador a través de nuestro servidor de soporte!",,"Произошла ошибка, пожалуйста, свяжитесь с разработчиком через наш сервер!",Ein Fehler ist aufgetreten. Bitte kontaktiere den Support der Entwickler!,,,
COMMAND_BASE,A Command,Une commande,Un orden,,Команда,Ein Befehl,,,
OPTIONS_NOT_IMPLEMENTED,Option is not implemented,L'option n'est pas implémentée,La opción no se implementa,,Опция еще не реализована,Einstellung ist nicht vorhanden,,,
OPTIONS_UNEXPECTED_INPUT,"Unexpected input `{0}`, valid inputs: `{1}`","Entrée inattendue `{0}`, entrées valides: `{1}`","Entrada inesperada `{0}`, entradas válidas: `{1}`",,,"Unbekannte Eingabe `{0}`, zulässige Eingaben: `{0}`",,,
OPTIONS_EXPECTED_INPUT,Expected an input: `{0}`,Attendu une entrée: `{0}`,Se espera una entrada: `{0}`,,,erwartete die Eingabe `{0}`,,,
OPTIONS_LIST,Available options: `{0}`,Options disponibles :,,,,Verfügbare Einstellungen: `{0}`,,,
COMMAND_ABOUT,Information about the bot,Informations sur le bot,Información sobre el bot,,Информация о боте,Informationen des Bots,,,
COMMAND_ABOUT_TITLE,About,À propos,Sobre,,Информация о боте,Über,,,
COMMAND_ABOUT_FIELD1,Version,Version,Versión,,Версия,Version,,,
COMMAND_ABOUT_FIELD2,Servers,Serveurs,Servidores,,Серверов,Server,,,
COMMAND_ABOUT_FIELD3,Developed by,Developpé par,Desarrollada por,,Разработчик,Entwickelt von,,,
COMMAND_ABOUT_FIELD4,Credit to,Crédit à,Crédito a,,,Anerkennung an,,,
COMMAND_ABOUT_FIELD6,Support,Support,Soporte ,,Поддержка,Support,,,
COMMAND_ABOUT_BUTTON1,Join support server,Rejoindre le serveur de support,Unirse al servidor de soporte,,Присоединиться к серверу поддержки,Betrete den Support Server,,,
COMMAND_ABOUT_BUTTON2,Library: {0},Librairie: {0},Bibleoteca: {0},,Библиотека: {0},Bücherei: {0},,,
COMMAND_BOTPING,Returns the bot's ping,Renvoie le ping du bot,Devuelve el ping del bot,,Показывает задержку бота,Gibt den Ping des Bots wieder,,,
COMMAND_CLEAR,Clears messages from the bot,Efface les messages du bot,Borra los mensajes del bot,,Очищает сообщения бота,Entfernt Nachrichten des Bots,,,
COMMAND_CLEAR_ARG1,The clearing action type,Le type d'action de supression,El tipo de acción de compensación,,,Die Art der Entfernung,,,
COMMAND_CLEAR_ARG2,The value for the type of clearing,La valeur pour le type de supression,El valor del tipo de compensación,,,Der Wert für die Entfernung,,,
COMMAND_CLEAR_NOMESSAGES,No messages found!,Aucun message trouvé!,¡No se han encontrado mensajes!,,Сообщения не найдены!,Keine Nachrichten!,,,
COMMAND_CLEAR_FOUND_MORE_THAN_MAX,"More than {0} messages found, only deleting the first {0}. To delete more messages run this command again.","Plus de {0} messages trouvés, pour supprimer uniquement le premier {0}. Pour supprimer plus de messages, exécutez à nouveau cette commande.","Se han encontrado más de {0} mensajes, solo eliminando el primer {0}. Para eliminar más mensajes ejecute este comando de nuevo.",,"Найдено сообщений больше чем {0}, удаленны только первые {0}. Чтобы удалить больше, запустите команду снова.","Mehr als {0} Nachrichten gefunden! Nur die ersten {0} Nachrichten werden entfernt. Um mehr zu entfernen, führe den Befehl erneut aus.",,,
COMMAND_CLEAR_CANNOT_DELETE_2WEEKS,Cannot delete messages older than 2 weeks,Impossible de supprimer les messages datant de plus de 2 semaines,No se pueden eliminar mensajes de más de 2 semanas,,Невозможно удалить сообщения старше 2 недель,Nachrichten älter als zwei Wochen können leider nicht gelöscht werden.,,,
COMMAND_CLEAR_DELETING_MANUALLY,"Deleting messages manually, this may take some time. In order to increase deletion time please give the bot permissions to manage messages.","La suppression manuelle des messages peut prendre un certain temps. Afin de réduire le temps de suppression, veuillez donner au bot les autorisations de gérer les messages.","Eliminar mensajes manualmente, esto puede llevar algún tiempo. Con el fin de aumentar el tiempo de eliminación, por favor dé al bot permisos para administrar los mensajes.",,"Удаление сообщений вручную может занять некоторое время. Чтобы увеличить время удаления, пожалуйста, предоставьте боту разрешения на управление сообщениями.","Nachrichten werden manuell entfernt. Das dauert eine Weile. Um Nachrichten schneller zu entfernen, gebe dem Bot bitte die Rechte.",,,
COMMAND_CLEAR_DELETING_AFTER,Deleting messages after {0},Suppression des messages après {0},Eliminación de mensajes después de {0},,,Nachrichten nach {0} werden gelöscht.,,,
COMMAND_CLEAR_DELETED,Deleted {0} message(s),{0} message (s) supprimé (s),Mensajes de {0} eliminado(s),,Удалено сообщений: {0},{0} Nachricht(en) wurden gelöscht.,,,
COMMAND_CLEAR_CANT_DELETE_IN_FUTURE,Cannot delete messages from the future!,Impossible de supprimer les messages du futur!,¡No se pueden eliminar mensajes del futuro!,,Невозможно удалить сообщения из будущего!,Nachrichten aus der Zukunft können nicht gelöscht werden!,,,
COMMAND_CLEAR_NEED_DATE,"Must specifiy a date and/or time, e.g. `today`, `yesterday`, `last week`, `yyyy/mm/dd`","Doit spécifier une date et / ou une heure, par ex. `aujourd'hui`, `hier`, `la semaine dernière`, `aaaa / mm / jj`","Debe especificar una fecha y/o hora, por ejemplo, ''hoy''', ''ayer'', ''última semana'', ''aaaa/mm/dd''",,"Необходимо указать дату и/или время, например: `сегодня`, `вчера`, `прошлая неделя`, `гггг/мм/дд`","Ein Tag und/oder eine Zeit muss festgelegt werden, z.B. `heute`, `gestern`, `letzte Woche`, `jjjj/mm/tt`",,,
COMMAND_CLEAR_NOT_TYPE,"`{0} is not a clearing type, types are: `{1}`","`{0}` n'est pas un type de supression, les types sont: `{1}`","{0} no es un tipo de compensación, los tipos son: `{1}`",,,"`{0} ist keine Entfernungsart, es gibt: `{1}`",,,
COMMAND_CREATEMOTD,"Generates an motd image, use either '§' or '&' for format codes and use '\\n' to create a new line","Génère une image motd, utilisez «§» ou «&» pour les codes de format et utilisez «\\n» pour créer une nouvelle ligne","Genera una imagen motd, usa '§' o '&' para códigos de formato y usa '\\n' para crear una nueva línea",,Создает motd изображение. Используйте '§' или '&' для форматирования и используйте '\\n' для перехода на новую строку,Stellt ein motd-Bild her. Benutze entweder '§' oder '&' um anzupassen und '\\n' um eine neue Zeile einzufügen,,,
COMMAND_CREATEMOTD_ARG1,The formatted motd text see [Formatting codes](https://minecraft.fandom.com/wiki/Formatting_codes) for usage,Le texte motd formaté voir [Codes de mise en forme] (https://minecraft.fandom.com/wiki/Formatting_codes) pour l'utilisation,El texto motd con formato consulte [Códigos de formato](https://minecraft.fandom.com/wiki/Formatting_codes) para su uso,,Для форматирования motd текста ознакомьтесь с [кодами форматирования](https://minecraft.fandom.com/ru/wiki/Форматирование_текста),Der spezielle motd-Text kann auf (https://minecraft.fandom.com/wiki/Formatting_codes) erstellt werden.,,,
COMMAND_CREATEMOTD_CONTENT,Client: `{0}`\nServer: `{1}`,Client: `{0}`\nServeur: `{1}`,Cliente: ''{0}'''\nServidor: ''{1}'',,Клиент: `{0}`\nСервер: `{1}`,Klient:  `{0}`\nServer:  `{1}`,,,
COMMAND_DEV_CHANNEL,Gets information about a channel,,,,,,,,
COMMAND_DEV_CHANNEL_ARG1,Id for the channel,,,,,,,,
COMMAND_DEV_CHANNEL_TITLE,Channel: {0},,,,,,,,
COMMAND_DEV_CHANNEL_DESC,**Id:** `{0}`\n**Guild:** `{1}`\n**Viewable:** `{2}`\n**Messages (Cached):** `{3}`\n\n**Permissions:**\n`{4}`,,,,,,,,
COMMAND_DEV_EMBED,Send/edit an embed in the channel,,,,,,,,
COMMAND_DEV_EMBED_ARG1,Whether to send or edit an embed,,,,,,,,
COMMAND_DEV_GUILDS,View and search connected guilds and details,,,,,,,,
COMMAND_DEV_HELP,Displays all commands and bot details,,,,,,,,
COMMAND_DEV_LEAVE,Makes the bot leave a server,,,,,,,,
COMMAND_DEV_LEAVE_ARG1,GuildId for the server,,,,,,,,
COMMAND_DEV_MAINTENANCE,Enables/disables maintenance mode,,,,,,,,
COMMAND_DEV_PERMISSIONS,Get bot permissions in current guild,,,,,,,,
COMMAND_DEV_PING,Pings a server with the given details,,,  ,,,,,
COMMAND_DEV_RESTART,Restarts the bot,,,,,,,,
COMMAND_DEV_STOP,Takes the bot offline,,,,,,,,
COMMAND_DEV_WELCOME,Sends the bot welcome message that is sent when the bot joins the guild,,,,,,,,
COMMAND_DISABLED,Disables/enables a command in the guild,Désactive / active une commande dans la guilde,,,,Deaktiviert/Aktiviert einen Befehl in der Gruppe,,,
COMMAND_DISABLED_ARG1,Whether to add or remove the command from being disabled,Ajouter ou supprimer une commande,,,,Entweder Befehl hinzufügen oder entfernen um deaktiviert zu werden.,,,
COMMAND_DISABLED_ARG2,The command to disable,La commande à désactiver,,,,Der Befehl zum deaktivieren,,,
COMMAND_DISABLED_DISABLED,:lock: `{0}` command has been disabled,:lock: La commande `{0}` a été désactivée,,,,:lock:  `{0}` der Befehl wurde deaktiviert.,,,
COMMAND_DISABLED_ENABLED,:unlock: `{0}` command has been enabled,:unlock: La commande `{0}` a été activée,,,,:unlock:  `{0}` der Befehl wurde aktiviert.,,,
COMMAND_DISABLED_ALREADY_DISABLED,That command is already disabled,Cette commande est déjà désactivée,,,,Der Befehl ist schon deaktiviert.,,,
COMMAND_DISABLED_ALREADY_ENABLED,That command is already enabled,Cette commande est déjà activée,,,,Der Befehl ist schon aktiviert.,,,
COMMAND_DISABLED_CANNOT_DISABLE,That command cannot be disabled,Cette commande ne peut pas être désactivée,,,,Dieser Befehl kann nicht deaktiviert werden.,,,
COMMAND_DISABLED_ENABLE_ALL,:unlock: All commands have been enabled,:unlock: Toutes les commandes ont été activées,,,,:unlock: Alle Befehle wurden aktiviert.,,,
COMMAND_DISCOVER,Get a list of servers who have discovery enabled,Obtenir une liste des serveurs sur lesquels la découverte est activée,,,"Показывает список серверов, для которых включено обнаружение",Erhalte eine Liste welche Server Erkundungsbefehle nutzen,,,
COMMAND_DISCOVER_NONE_TITLE,There are no servers on discovery!,"Il n'y a pas de serveurs en découverte!
",,,Нет доступных к обнаружению серверов!,Keine Server gefunden auf der Erkundung,,,
COMMAND_DISCOVER_NONE_DESC,No servers could be found with discovery enabled.\n\nYou can enable discovery for your server by running `{0}setserverdiscovery display on` so that others can find your server!,,,,"Не удалось найти серверы с включенным обнаружением.\n\nВы можете включить обнаружение для Вашего сервера, запустив `{0}setserverdiscovery display on`, чтобы другие могли найти ваш сервер!",,,,
COMMAND_DISCOVER_TITLE,Server Discovery,,,,Список серверов,,,,
COMMAND_DISCOVER_ERROR,There was an error retreiving the server discovery list!,,,,Произошла ошибка при получении списка серверов!,,,,
COMMAND_DONATE,Donation info for the bot,Informations de don pour le bot,,,Информация по поддержке бота,,,,
COMMAND_DONATE_BUTTON,Donate,Faire un don,,,Поддержка,,,,
COMMAND_DONATE_DESC,"Donating helps to keep the bot up, working and online 24/7!\n\nSubscriptions will give you access to amazing additional features supplied by the bot. Find out more information on the donation page.",Faire un don permet au bot de rester opérationnel et en ligne 24h / 24 et 7j / 7!\n\nLes abonnements vous donneront accès à des fonctionnalités supplémentaires incroyables fournies par le bot. Découvrez plus d'informations sur la page des dons.,,,"Ваша поддержка помогает держать бота в рабочем состоянии и онлайн 24/7!\n\nПодписка даст Вам доступ к классным дополнительным функциям, предоставляемых ботом. Узнайте больше информации на странице поддержки.",,,,
COMMAND_HELP,Displays all permitted commands,Affiche toutes les commandes autorisées,,,,,,,
COMMAND_HELP_ARG1,A command to get help about,Une commande pour obtenir de l'aide,,,,,,,
COMMAND_HELP_FIELD1,Command,Commande,,,Команда,,,,
COMMAND_HELP_FIELD2,Description,Description,,,Описание,,,,
COMMAND_HELP_DETAILS,":bell: Requires a minecraft server running a supported version, to see supported versions do `{0}versions`\n\n:memo: To get more information about a command do `{0}help [command]`",":bell: Nécessite un serveur Minecraft exécutant une version prise en charge, pour voir les versions prises en charge, faites `{0}versions`\n\n:memo: pour obtenir plus d'informations sur une commande, faites `{0}help [command]`",,,,,,,
COMMAND_HELP_HEADER1,Description,Description,,,Описание,,,,
COMMAND_HELP_HEADER2,Aliases,Alias,,,Аналогичные команды,,,,
COMMAND_HELP_HEADER3,Arguments,Arguments,,,Аргументы,,,,
COMMAND_HELP_HEADER4,Options,Options,,,Опции,,,,
COMMAND_INVITE,Get invite links for the bot,Obtenez des liens d'invitation pour le bot,,,Показывает ссылки для приглашения бота,,,,
COMMAND_INVITE_DESC,Do `{0}vote` to get direct links to vote on these sites.\n**You can invite the bot from one of these sites:**,Faites `{0}vote` pour obtenir des liens directs pour voter sur ces sites.\n**Vous pouvez inviter le bot depuis l'un de ces sites:**,,,"Введите `{0}vote`, чтобы получить ссылки для голосования за бота на этих сайтах.\n**Вы можете пригласить бота с одного из этих сайтов:**",,,,
COMMAND_LANGUAGE,List of languages that the bot is translated for and a list of the translators,Liste des langues pour lesquelles le bot est traduit et liste des traducteurs,,,Список поддерживаемых ботом языков и их переводчики,,,,
COMMAND_LANGUAGE_TITLE,Languages and Translators,Langues et traducteurs,,,Языки и переводчики,,,,
COMMAND_LANGUAGE_DESC,"To set the language in your server you must first make sure your server has ""Community"" enabled, goto the **""Enable Community""** tab in server settings to get started.\n\nOnce community is enabled, under **""Community"" > ""Overview""** you can set your **""Server Primary Language""** to your desired language.\n\n*Only the languages below are supported, if your server language is not supported it will default to english.*",,,,"Чтобы установить язык на вашем сервере, вы должны сначала убедиться, что на вашем сервере включен режим ""Сообщество"", перейдите на вкладку **""Включить сообщество""** в настройках сервера.\n\Когда режим Сообщества будет включен, в разделе **""Сообщество"" > ""Обзор""** вы можете установить **""Основной язык сервера""** на нужный.\n\n*Поддерживаются только перечисленные ниже языки. Если язык вашего сервера не поддерживается, по умолчанию будет использоваться английский.*",,,,
COMMAND_LANGUAGE_DESC_UD,The bot is currently being translated so the bot will only display messages in english.,,,,"В настоящее время бот переводится, поэтому бот будет отображать сообщения только на английском языке",,,,
COMMAND_LANGUAGE_FIELD1,Supported Languages,,,,Поддерживаемые языки,,,,
COMMAND_LANGUAGE_FIELD2,Translators,,,,Переводчики,,,,
COMMAND_MODS,Displays the mods that are on the server,Affiche les mods qui sont sur le serveur,,,Показывает список модификаций используемых сервером,,,,
COMMAND_MODS_ARG1,The starting page to display,La page de départ à afficher,,,Страница для отображения,,,,
COMMAND_MODS_NOMODS,The server does not have any mods,Le serveur n'a pas de mods,,,Сервер не использует модификации,,,,
COMMAND_MODS_TITLE,Server Mods,Mods de serveur,,,Модификации на сервере,,,,
COMMAND_MODS_DESC,Mods: **{0}**\nType: **{1}**\n{2},Mods: **{0}**\nType: **{1}**\n{2},,,Модификаций: **{0}**\nТип: **{1}**\n{2},,,,
COMMAND_MOJANG,View the status of all mojang services,,,,Показывает состояние всех служб mojang,,,,
COMMAND_MOJANG_TITLE,Mojang Services,,,,Службы Mojang,,,,
COMMAND_PINGSERVER,Pings a server with the given details,Ping un serveur avec les détails donnés,,,Проверяет статус сервера и выводит информацию,,,,
COMMAND_PINGSERVER_ARG2,The port to send query requests to e.g. `25566`,"Le port auquel envoyer les demandes de requête, par exemple `25566`",,,"Порт для отправки запроса, например `25566`",,,,
COMMAND_PLAYERS,Gets all the players currently online,Obtient tous les joueurs actuellement en ligne,,,Показывает список всех игроков находящихся на сервере,,,,
COMMAND_PLAYERS_TOOMANY,There many be too many players online OR `enable-query=true` is not set in server.properties,Il y a trop de joueurs en ligne OU `enable-query=true` n'est pas défini dans server.properties,,,,,,,
COMMAND_PLUGINS,Displays the plugins that are on the server,Affiche les plugins qui se trouvent sur le serveur,,,Показывает список плагинов используемых сервером,,,,
COMMAND_PLUGINS_ARG1,The starting page to display,La page de départ à afficher,,,Страница для отображения,,,,
COMMAND_PLUGINS_NOPLUGINS,The server does not have any plugins,Le serveur n'a pas de plugins,,,Сервер не использует плагины,,,,
COMMAND_PLUGINS_TITLE,Server Plugins,Plugins du serveur,,,Плагины на сервере,,,,
COMMAND_PLUGINS_DESC,Plugins: **{0}**\n{1},Plugins: **{0}**\n{1},,,Плагины: **{0}**\n{1},,,,
COMMAND_PRIVACY,View our privacy policy,Consultez notre politique de confidentialité,,,Ознакомиться с нашей политикой конфиденциальности,,,,
COMMAND_PRIVACY_TITLE,Privacy Policy,Politique de confidentialité,,,Политика конфиденциальности,,,,
COMMAND_PRIVACY_DESC,*We reserve the right to make changes and updates to our privacy policy without notifying any of our users.*,* Nous nous réservons le droit d'apporter des modifications et des mises à jour à notre politique de confidentialité sans en informer aucun de nos utilisateurs. *,,,,,,,
COMMAND_PRIVACY_FIELD1,What data do we store?,Quelles données stockons-nous?,,,,,,,
COMMAND_PRIVACY_FIELD1_VAL,"• Your guild's id is used to store all settings so we can link the data to your guild.\n• The custom prefix in your server is stored\n• If you add a server address, that ip/hostname and port are stored\n• If you setup a status channel the channel id, status message id and stutus channel type are stored\n• If you add an invite to server discovery the invite will be stored, also whether you have discovery enabled will also be stored\n• If you disable any commands the list of disabled commands is stored",,,,,,,,
COMMAND_PRIVACY_FIELD2,Why do we store your information?,Pourquoi stockons-nous vos informations?,,,,,,,
COMMAND_PRIVACY_FIELD2_VAL,• We store your custom prefix in order for you to run commands with the prefix you specifiy\n• Your server address and port are used in order to get information from your minecraft server without the information being typed-in every time\n• Status channel id's are stored so we know where to send status messages and the status message id and type is stored so we know what message to update and how to display your server information\n• Your server discovery settings are stored so we know if we should display your server on discovery and the discord invite to display\n• Disabled commands are stored so we know what commands to deny users from running in your guild,,,,,,,,
COMMAND_PRIVACY_FIELD3,Who can view this data?,Qui peut consulter ces données?,,,,,,,
COMMAND_PRIVACY_FIELD3_VAL,• You can view all of your settings using the `{0}settings` command\n• Only the developer and high level admins of the bot can view your data,,,,,,,,
COMMAND_PRIVACY_FIELD4,How do I delete data?,,,,,,,,
COMMAND_PRIVACY_FIELD4_VAL,"You can delete all of your data by either, removing the bot from your discord server. Or by running `{0}resetsettings` which will set all of your settings to their default values.",,,,,,,,
COMMAND_PRIVACY_FIELD5,Do you have any questions?,Avez-vous des questions?,,,,,,,
COMMAND_PRIVACY_FIELD5_VAL,If you would like information or help on a specific matter [join our support server](https://discord.gg/uqVp2XzUP8),,,,,,,,
COMMAND_RESETSETTINGS,Remove all of your settings and reset them to default,,,,,,,,
COMMAND_RESETSETTINGS_CONTENT,All of your settings have been removed and reset to their default values.,,,,,,,,
COMMAND_SETADDRESS,"Sets the server address used by the bot, alternative to using `setip` and `setport`","Définit l'adresse du serveur utilisée par le bot, alternative à l'utilisation de `setip` et `setport`",,,,,,,
COMMAND_SETADDRESS_CONTENT,Ip set to `{0}` and Port set to `{1}`,Ip défini sur `{0}` et Port défini sur `{1}`,,,Установлен IP: `{0}` и порт `{1}`,,,,
COMMAND_SETIP,Sets the server ip used by the bot,Définit l'adresse IP du serveur utilisée par le bot,,,Устанавливает IP для сервера,,,,
COMMAND_SETIP_PORTWARNING,":warning: Found port in ip, to set the port do `{0}setport {1}` OR `{0}setaddr {2}:{1}`\n",":warning: Port trouvé dans ip, pour définir le port, faites `{0}setport {1}` OU `{0}setaddr {2}:{1}`\n",,,,,,,
COMMAND_SETIP_CONTENT,Ip set to `{0}`,Ip défini sur `{0}`,,,Установлен IP: `{0}`,,,,
COMMAND_SETPORT,"Sets the server port used by the bot, default is 25565","Définit le port du serveur utilisé par le bot, la valeur par défaut est 25565",,,"Устанавливает порт для сервера, по умолчанию используется 25565",,,,
COMMAND_SETPORT_CONTENT,Port set to `{0}`,Port défini sur `{0}`,,,Установлен порт: `{0}`,,,,
COMMAND_SETPREFIX,Sets the prefix used by the bot,Définit le préfixe utilisé par le bot,,,Устанавливает префикс используемый ботом,,,,
COMMAND_SETPREFIX_LIMIT,Prefix can only be up to 3 characters long,Le préfixe ne peut comporter que 3 caractères maximum,,,Префикс может состоять не более чем из 3 символов,,,,
COMMAND_SETPREFIX_CONTENT,Prefix set to `{0}`,Préfixe défini sur `{0}`,,,Установлен префикс: `{0}`,,,,
COMMAND_SETQUERYPORT,"Sets the server port used by the bot to send query requests, defaults to the normal port","Définit le port du serveur utilisé par le bot pour envoyer des requêtes pour recevoir des informations, par défaut sur le port normal",,,"Устанавливает query порт используемый ботом для получения информации о сервере, по умолчанию используется обычный порт",,,,
COMMAND_SETQUERYPORT_ARG1,The port that your server queries are handled from e.g. `25566`,"Le port à partir duquel les requêtes de votre serveur sont gérées, par exemple `25566`",,,,,,,
COMMAND_SETQUERYPORT_CONTENT,Query port set to `{0}`,Port de requête défini sur `{0}`,,,,,,,
COMMAND_SETQUERYPORT_REMOVED,"Query port removed, the server port will be used instead.","Le port de requête a été supprimé, le port du serveur sera utilisé à la place.",,,,,,,
COMMAND_SETSERVERDISCOVERY,Sets whether the server should be displayed on the discovery list,Définit si le serveur doit être affiché dans la liste de découverte,,,,,,,
COMMAND_SETSERVERDISCOVERY_ARG1,The setting to change about your server's discovery,Le paramètre à modifier concernant la découverte de votre serveur,,,,,,,
COMMAND_SETSERVERDISCOVERY_CONTENT,Server discovery has been `{0}`,La découverte du serveur a été `{0}`,,,,,,,
COMMAND_SETSERVERDISCOVERY_INVITE_ADD,Server discovery invite code has been set to `{0}`,Le code d'invitation à la découverte du serveur a été défini sur ` {0} `,,,,,,,
